gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4407600313	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/181853134	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.293922	-84.734554	31199.0						2023-03-06T04:44:00	6	3	2023	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	181853134		aidanhawk444	2023-09-05T02:57:48	CC_BY_NC_4_0	aidanhawk444	aidanhawk444			2023-09-28T12:32:57.915Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4407429950	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/181816349	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.714064	-85.007056							2023-06-13T09:09:00	13	6	2023	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	181816349		Mike Melton	2023-09-04T22:11:26	CC_BY_NC_4_0	Mike Melton	Mike Melton			2023-09-28T14:03:31.262Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4405262486	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/139959534	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.318094	-84.879148	31199.0						2022-10-25T05:58:24	25	10	2022	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	139959534		Sam Eberhard	2022-10-25T13:17:06	CC_BY_4_0	Sam Eberhard	Sam Eberhard			2023-09-28T13:44:05.466Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
439779436	7e2989f0-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor (Linnaeus, 1771)		CR	Cordillera de Talamanca, Chirripó-Massiv (Sabanna de los Leones)		PRESENT		33aecde5-7e13-4272-9cb7-f4f3b0eb820c	9.4333	-83.4667											2435099	2435099	PRESERVED_SPECIMEN	MNHM	MNHM-Zoology	W1992/001				CC_BY_4_0					2023-09-28T05:11:25.145Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4177520748	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/178315335	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma yagouaroundi		SPECIES	Herpailurus yagouaroundi (É.Geoffroy Saint-Hilaire, 1803)	Herpailurus yagouaroundi		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.489823	-84.048348	129.0						2023-08-13T10:15:00	13	8	2023	5787224	2435146	HUMAN_OBSERVATION	iNaturalist	Observations	178315335		Ben Jobson	2023-08-14T04:18:34	CC_BY_4_0	Ben Jobson	Ben Jobson			2023-09-28T14:01:36.167Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4177294985	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/177895351	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.483086	-83.595147	201.0						2002-07-11T15:48:00	11	7	2002	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	177895351		leg9	2023-08-11T21:50:24	CC_BY_NC_4_0	leg9	leg9			2023-09-28T14:02:10.449Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4177109271	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/177523901	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.540835	-83.570964	16050.0						2014-03-22T08:09:00	22	3	2014	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	177523901		Gabriel	2023-08-09T16:21:16	CC_BY_NC_4_0	Gabriel	Gabriel			2023-09-28T14:09:23.399Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4175829179	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	Palo Verde Nationalpark		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	10.34481	-85.251328	250.0						2003-02-20T00:00:00	20	2	2003	2434982	2434982	HUMAN_OBSERVATION	naturgucker	naturgucker	1785773130				CC_BY_4_0		177731058			2023-09-02T16:27:50.462Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
4174649366	09d2da7b-4699-4e45-b0da-73c982660c98	feb7f14dd8b4d8bf046f7f7beb6b000d	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis	(Linnaeus, 1758)	CR	14 km NE Potrero Grande	Puntarenas	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862	9.1062	-83.0933			0.0	0.0	0.0	0.0	1965-06-28T00:00:00	28	6	1965	2434982	2434982	PRESERVED_SPECIMEN	LSU	LSUMZ	10219		NO DISPONIBLE		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Arnold, Keith A.			2023-09-06T21:17:06.103Z		CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_INSTITUTION
4172007121	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/176455425	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.622821	-83.34314	31271.0						2023-07-25T21:30:00	25	7	2023	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	176455425		Nick Glover	2023-08-03T16:25:19	CC_BY_NC_4_0	Nick Glover	Nick Glover			2023-09-28T14:01:39.457Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
